file|k2c4/k2fits/ktwo210704853-c04_llc.fits
KEPLERID|210704853
EPIC|210704853
CAMPAIGN|4
FLAG|0
MODULE|13
CHANNEL|44
RA|58.988235
DEC|18.432308
PARALLAX|<astropy.io.fits.card.Undefined object at 0x7f441b5e1eb8>
CADENCE|long cadence
JMAG|10.23
E_JMAG|0.024
HMAG|9.6289997
E_HMAG|0.025
KMAG|9.3879995
E_KMAG|0.021
KP|13.107
TEFF|3746
E_TEFF|200
LOGG|4.9229999
E_LOGG|5.0000001E-2
FEH|5.6000002E-2
E_FEH|5.0000001E-2
RAD|0.34899999999999998
E_RAD|6.4000000000000001E-2
MASS|0.38
E_MASS|8.2000000000000003E-2
RHO|8.532
E_RHO|2.2090000000000001
LUM|
E_LUM|
D|44.07
E_D|18.440000000000001
EBV|6.2199999E-2
E_EBV|2.8000001E-2
